TrackName,Composer,TrackLength,TrackSizeBytes,TrackPrice,Genre,MediaType,AlbumTitle,ArtistName,InvoiceItemQuantity,InvoiceItemUnitPrice,InvoiceId,InvoiceDate,InvoiceBillingAddress,InvoiceBillingCity,InvoiceBillingState,InvoiceBillingCountry,InvoiceBillingPostalCode,CustomerFirstName,CustomerLastName,CustomerAddress,CustomerCity,CustomerState,CustomerCountry,CustomerPostalCode,CustomerPhone,CustomerFax,CustomerEmail
"For Those About To Rock (We Salute You)","Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,108,"2010-04-13 00:00:00","Via Degli Scipioni, 43",Rome,RM,Italy,00192,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,"+39 06 39733434",,lucas.mancini@yahoo.it
"Balls to the Wall",,342562,5510424,0.99,Rock,"Protected AAC audio file","Balls to the Wall",Accept,1,0.99,1,"2009-01-01 00:00:00","Theodor-Heuss-Straße 34",Stuttgart,,Germany,70174,Leonie,"Köhler","Theodor-Heuss-Straße 34",Stuttgart,,Germany,70174,"+49 0711 2842222",,leonekohler@surfeu.de
"Balls to the Wall",,342562,5510424,0.99,Rock,"Protected AAC audio file","Balls to the Wall",Accept,1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"Fast As a Shark","F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619,3990994,0.99,Rock,"Protected AAC audio file","Restless and Wild",Accept,1,0.99,319,"2012-11-01 00:00:00","Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,Fernanda,Ramos,"Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,"+55 (61) 3363-5547","+55 (61) 3363-7855",fernadaramos4@uol.com.br
"Restless and Wild","F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,0.99,Rock,"Protected AAC audio file","Restless and Wild",Accept,1,0.99,1,"2009-01-01 00:00:00","Theodor-Heuss-Straße 34",Stuttgart,,Germany,70174,Leonie,"Köhler","Theodor-Heuss-Straße 34",Stuttgart,,Germany,70174,"+49 0711 2842222",,leonekohler@surfeu.de
"Princess of the Dawn","Deaffy & R.A. Smith-Diesel",375418,6290521,0.99,Rock,"Protected AAC audio file","Restless and Wild",Accept,1,0.99,108,"2010-04-13 00:00:00","Via Degli Scipioni, 43",Rome,RM,Italy,00192,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,"+39 06 39733434",,lucas.mancini@yahoo.it
"Put The Finger On You","Angus Young, Malcolm Young, Brian Johnson",205662,6713451,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,2,"2009-01-02 00:00:00","Ullevålsveien 14",Oslo,,Norway,0171,"Bjørn",Hansen,"Ullevålsveien 14",Oslo,,Norway,0171,"+47 22 44 22 22",,bjorn.hansen@yahoo.no
"Let's Get It Up","Angus Young, Malcolm Young, Brian Johnson",233926,7636561,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,,,,,,,,,,,,,,,,,,,
"Inject The Venom","Angus Young, Malcolm Young, Brian Johnson",210834,6852860,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,2,"2009-01-02 00:00:00","Ullevålsveien 14",Oslo,,Norway,0171,"Bjørn",Hansen,"Ullevålsveien 14",Oslo,,Norway,0171,"+47 22 44 22 22",,bjorn.hansen@yahoo.no
"Inject The Venom","Angus Young, Malcolm Young, Brian Johnson",210834,6852860,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,108,"2010-04-13 00:00:00","Via Degli Scipioni, 43",Rome,RM,Italy,00192,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,"+39 06 39733434",,lucas.mancini@yahoo.it
Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,319,"2012-11-01 00:00:00","Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,Fernanda,Ramos,"Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,"+55 (61) 3363-5547","+55 (61) 3363-7855",fernadaramos4@uol.com.br
"Evil Walks","Angus Young, Malcolm Young, Brian Johnson",263497,8611245,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,2,"2009-01-02 00:00:00","Ullevålsveien 14",Oslo,,Norway,0171,"Bjørn",Hansen,"Ullevålsveien 14",Oslo,,Norway,0171,"+47 22 44 22 22",,bjorn.hansen@yahoo.no
C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",199836,6566314,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,,,,,,,,,,,,,,,,,,,
"Breaking The Rules","Angus Young, Malcolm Young, Brian Johnson",263288,8596840,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,2,"2009-01-02 00:00:00","Ullevålsveien 14",Oslo,,Norway,0171,"Bjørn",Hansen,"Ullevålsveien 14",Oslo,,Norway,0171,"+47 22 44 22 22",,bjorn.hansen@yahoo.no
"Night Of The Long Knives","Angus Young, Malcolm Young, Brian Johnson",205688,6706347,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,108,"2010-04-13 00:00:00","Via Degli Scipioni, 43",Rome,RM,Italy,00192,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,"+39 06 39733434",,lucas.mancini@yahoo.it
Spellbound,"Angus Young, Malcolm Young, Brian Johnson",270863,8817038,0.99,Rock,"MPEG audio file","For Those About To Rock We Salute You",AC/DC,1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"Go Down",AC/DC,331180,10847611,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,1,0.99,319,"2012-11-01 00:00:00","Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,Fernanda,Ramos,"Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,"+55 (61) 3363-5547","+55 (61) 3363-7855",fernadaramos4@uol.com.br
"Dog Eat Dog",AC/DC,215196,7032162,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,1,0.99,3,"2009-01-03 00:00:00","Grétrystraat 63",Brussels,,Belgium,1000,Daan,Peeters,"Grétrystraat 63",Brussels,,Belgium,1000,"+32 02 219 03 03",,daan_peeters@apple.be
"Let There Be Rock",AC/DC,366654,12021261,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,,,,,,,,,,,,,,,,,,,
"Bad Boy Boogie",AC/DC,267728,8776140,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,,,,,,,,,,,,,,,,,,,
"Problem Child",AC/DC,325041,10617116,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,1,0.99,109,"2010-04-16 00:00:00","113 Lupus St",London,,"United Kingdom","SW1V 3EN",Phil,Hughes,"113 Lupus St",London,,"United Kingdom","SW1V 3EN","+44 020 7976 5722",,phil.hughes@gmail.com
Overdose,AC/DC,369319,12066294,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,1,0.99,3,"2009-01-03 00:00:00","Grétrystraat 63",Brussels,,Belgium,1000,Daan,Peeters,"Grétrystraat 63",Brussels,,Belgium,1000,"+32 02 219 03 03",,daan_peeters@apple.be
Overdose,AC/DC,369319,12066294,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,1,0.99,214,"2011-07-25 00:00:00","5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6",Ellie,Sullivan,"5112 48 Street",Yellowknife,NT,Canada,"X1A 1N6","+1 (867) 920-2233",,ellie.sullivan@shaw.ca
"Hell Ain't A Bad Place To Be",AC/DC,254380,8331286,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,1,0.99,319,"2012-11-01 00:00:00","Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,Fernanda,Ramos,"Qe 7 Bloco G","Brasília",DF,Brazil,71020-677,"+55 (61) 3363-5547","+55 (61) 3363-7855",fernadaramos4@uol.com.br
"Whole Lotta Rosie",AC/DC,323761,10547154,0.99,Rock,"MPEG audio file","Let There Be Rock",AC/DC,,,,,,,,,,,,,,,,,,,
"Walk On Water","Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,,,,,,,,,,,,,,,,,,,
"Love In An Elevator","Steven Tyler, Joe Perry",321828,10552051,0.99,Rock,"MPEG audio file","Big Ones",Aerosmith,1,0.99,3,"2009-01-03 00:00:00","Grétrystraat 63",Brussels,,Belgium,1000,Daan,Peeters,"Grétrystraat 63",Brussels,,Belgium,1000,"+32 02 219 03 03",,daan_peeters@apple.be
